Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Random guess;Random distance;Random hit;Predictor guess;Predictor distance;Predictor hit;Profile guess;Profile distance;Profile hit;Benchmark link (pre);Benchmark link (opt)
automotive_bitcount;bit_count;12;5;7;102500000;1484336036;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;13;5;7;92812500;932265675;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;14;5;7;90737500;952402577;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;15;5;7;89375000;975827710;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;16;5;7;88687500;974202625;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;17;5;7;88150000;983807836;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;18;5;7;88150000;983807836;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;19;5;7;87587500;996435297;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_count;20;5;7;86925000;993077560;"3;0;10;10.le;3_eheader.preheader";"0;10;3;10.le;3_eheader.preheader";2;0,8000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;"3;0;10;10.le;3_eheader.preheader";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;1;5;7;90000000;2056754800;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
