Benchmark name;Function name;Execution;Number of vertices;Number of edges;Min count;Max count;Random distance;Predictor distance
automotive_bitcount;bit_count;1;8;10;0;1059527520;8;0
automotive_bitcount;bit_count;2;8;10;0;1010273706;8;0
automotive_bitcount;bit_count;3;8;10;0;1011645882;8;0
automotive_bitcount;bit_count;4;8;10;0;992701303;8;0
automotive_bitcount;bit_count;5;8;10;0;997326315;8;0
automotive_bitcount;bit_count;6;8;10;0;1030727802;8;0
automotive_bitcount;bit_count;7;8;10;0;1022128404;8;0
automotive_bitcount;bit_count;8;8;10;0;962031231;8;0
automotive_bitcount;bit_count;9;8;10;0;969602440;8;0
automotive_bitcount;bit_count;10;8;10;0;952589974;8;0
automotive_bitcount;bit_count;11;8;10;0;1057163513;8;0
automotive_bitcount;bit_count;12;8;10;0;1484336036;8;0
automotive_bitcount;bit_count;13;8;10;0;932265675;8;0
automotive_bitcount;bit_count;14;8;10;0;952402577;8;0
automotive_bitcount;bit_count;15;8;10;0;975827710;8;0
automotive_bitcount;bit_count;16;8;10;0;974202625;8;0
automotive_bitcount;bit_count;17;8;10;0;983807836;8;0
automotive_bitcount;bit_count;18;8;10;0;983807836;8;0
automotive_bitcount;bit_count;19;8;10;0;996435297;8;0
automotive_bitcount;bit_count;20;8;10;0;993077560;8;0
automotive_bitcount;bit_shifter;1;8;10;90000000;2146754800;17;3
automotive_bitcount;bit_shifter;2;8;10;82875000;2054086320;17;3
automotive_bitcount;bit_shifter;3;8;10;81250000;2059531994;17;3
automotive_bitcount;bit_shifter;4;8;10;78375000;2018042611;17;3
automotive_bitcount;bit_shifter;5;8;10;76875000;1998191535;17;3
automotive_bitcount;bit_shifter;6;8;10;79625000;2095282124;17;3
automotive_bitcount;bit_shifter;7;8;10;78375000;2080931028;17;3
automotive_bitcount;bit_shifter;8;8;10;73125000;1954579932;17;3
automotive_bitcount;bit_shifter;9;8;10;73000000;1961404384;17;3
automotive_bitcount;bit_shifter;10;8;10;70875000;1912228836;17;3
automotive_bitcount;bit_shifter;11;8;10;78750000;2139207749;17;3
automotive_bitcount;bit_shifter;12;8;10;102500000;3012308924;17;3
automotive_bitcount;bit_shifter;13;8;10;92812500;1908779400;17;3
automotive_bitcount;bit_shifter;14;8;10;90737500;1949191804;17;3
automotive_bitcount;bit_shifter;15;8;10;89375000;1963347672;17;3
automotive_bitcount;bit_shifter;16;8;10;88687500;1989763295;17;3
automotive_bitcount;bit_shifter;17;8;10;88150000;2004610636;17;3
automotive_bitcount;bit_shifter;18;8;10;88150000;2004610636;17;3
automotive_bitcount;bit_shifter;19;8;10;87587500;2009823959;17;3
automotive_bitcount;bit_shifter;20;8;10;86925000;2015676070;17;3
automotive_bitcount;main;1;8;10;0;81;14;1
automotive_bitcount;main;2;8;10;0;40;14;1
automotive_bitcount;main;3;8;10;0;27;14;1
automotive_bitcount;main;4;8;10;0;20;14;1
automotive_bitcount;main;5;8;10;0;16;14;1
automotive_bitcount;main;6;8;10;0;14;14;1
automotive_bitcount;main;7;8;10;0;12;14;1
automotive_bitcount;main;8;8;10;0;10;14;1
automotive_bitcount;main;9;8;10;0;9;14;1
automotive_bitcount;main;10;8;10;0;8;14;1
automotive_bitcount;main;11;8;10;0;8;14;1
automotive_bitcount;main;12;8;10;0;3;14;1
automotive_bitcount;main;13;8;10;0;826;14;1
automotive_bitcount;main;14;8;10;0;428;14;1
automotive_bitcount;main;15;8;10;0;287;14;1
automotive_bitcount;main;16;8;10;0;216;14;1
automotive_bitcount;main;17;8;10;0;173;14;1
automotive_bitcount;main;18;8;10;0;173;14;1
automotive_bitcount;main;19;8;10;0;144;14;1
automotive_bitcount;main;20;8;10;0;123;14;1
automotive_bitcount;main1;1;17;21;0;630000560;66;7
automotive_bitcount;main1;2;17;21;0;580125273;66;7
automotive_bitcount;main1;3;17;21;0;568750182;66;7
automotive_bitcount;main1;4;17;21;0;548625133;66;7
automotive_bitcount;main1;5;17;21;0;538125105;66;7
automotive_bitcount;main1;6;17;21;0;557375091;66;7
automotive_bitcount;main1;7;17;21;0;548625077;66;7
automotive_bitcount;main1;8;17;21;0;511875063;66;7
automotive_bitcount;main1;9;17;21;0;511000056;67;6
automotive_bitcount;main1;10;17;21;0;496125049;65;4
automotive_bitcount;main1;11;17;21;0;551250049;65;4
automotive_bitcount;main1;12;17;21;0;717500014;66;1
automotive_bitcount;main1;13;17;21;0;649693275;66;7
automotive_bitcount;main1;14;17;21;0;635165489;66;7
automotive_bitcount;main1;15;17;21;0;625627002;66;7
automotive_bitcount;main1;16;17;21;0;620814005;66;7
automotive_bitcount;main1;17;17;21;0;617051204;66;7
automotive_bitcount;main1;18;17;21;0;617051204;66;7
automotive_bitcount;main1;19;17;21;0;613113501;66;7
automotive_bitcount;main1;20;17;21;0;608475854;66;7
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;5;1
automotive_bitcount;ntbl_bitcnt;2;4;5;82875000;526437834;5;1
automotive_bitcount;ntbl_bitcnt;3;4;5;81250000;532958556;5;1
automotive_bitcount;ntbl_bitcnt;4;4;5;78375000;522469714;5;1
automotive_bitcount;ntbl_bitcnt;5;4;5;76875000;517476090;5;1
automotive_bitcount;ntbl_bitcnt;6;4;5;79625000;539479278;5;1
automotive_bitcount;ntbl_bitcnt;7;4;5;78375000;533482466;5;1
automotive_bitcount;ntbl_bitcnt;8;4;5;73125000;499485654;5;1
automotive_bitcount;ntbl_bitcnt;9;4;5;73000000;499987248;5;1
automotive_bitcount;ntbl_bitcnt;10;4;5;70875000;486488842;5;1
automotive_bitcount;ntbl_bitcnt;11;4;5;78750000;541613842;5;1
automotive_bitcount;ntbl_bitcnt;12;4;5;102500000;775949048;5;1
automotive_bitcount;ntbl_bitcnt;13;4;5;92812500;485892825;5;1
automotive_bitcount;ntbl_bitcnt;14;4;5;90737500;507686347;5;1
automotive_bitcount;ntbl_bitcnt;15;4;5;89375000;511642846;5;1
automotive_bitcount;ntbl_bitcnt;16;4;5;88687500;513626615;5;1
automotive_bitcount;ntbl_bitcnt;17;4;5;88150000;514101292;5;1
automotive_bitcount;ntbl_bitcnt;18;4;5;88150000;514101292;5;1
automotive_bitcount;ntbl_bitcnt;19;4;5;87587500;513221423;5;1
automotive_bitcount;ntbl_bitcnt;20;4;5;86925000;511053242;5;1
automotive_qsort1;compare;1;4;5;73275076;148365384;4;1
automotive_qsort1;compare;2;4;5;70746327;155199123;4;1
automotive_qsort1;compare;3;4;5;80662842;164326293;3;0
automotive_qsort1;compare;4;4;5;74622568;149454221;4;1
automotive_qsort1;compare;5;4;5;72961500;154125750;4;1
automotive_qsort1;compare;6;4;5;70255900;141727300;4;1
automotive_qsort1;compare;7;4;5;70928000;167020750;4;1
automotive_qsort1;compare;8;4;5;77671585;157701185;3;0
automotive_qsort1;compare;9;4;5;76999680;157033216;4;1
automotive_qsort1;compare;10;4;5;83714736;167450346;4;1
automotive_qsort1;compare;11;4;5;60964750;148730890;4;1
automotive_qsort1;compare;12;4;5;77842304;158950962;3;0
automotive_qsort1;compare;13;4;5;73408203;148939236;4;1
automotive_qsort1;compare;14;4;5;74042367;152585111;4;1
automotive_qsort1;compare;15;4;5;65549490;142404360;4;1
automotive_qsort1;compare;16;4;5;61575600;134646600;4;1
automotive_qsort1;compare;17;4;5;66332508;147924972;4;1
automotive_qsort1;compare;18;4;5;72922112;160602484;4;1
automotive_qsort1;compare;19;4;5;65087100;134709900;4;1
automotive_qsort1;compare;20;4;5;75428200;155952600;4;1
automotive_qsort1;main;1;8;10;0;227;9;1
automotive_qsort1;main;2;8;10;0;424;9;1
automotive_qsort1;main;3;8;10;0;304;9;1
automotive_qsort1;main;4;8;10;0;264;9;1
automotive_qsort1;main;5;8;10;0;376;9;1
automotive_qsort1;main;6;8;10;0;1301;9;1
automotive_qsort1;main;7;8;10;0;326;9;1
automotive_qsort1;main;8;8;10;0;462;9;1
automotive_qsort1;main;9;8;10;0;257;9;1
automotive_qsort1;main;10;8;10;0;295;9;1
automotive_qsort1;main;11;8;10;0;771;9;1
automotive_qsort1;main;12;8;10;0;275;9;1
automotive_qsort1;main;13;8;10;0;310;9;1
automotive_qsort1;main;14;8;10;0;512;9;1
automotive_qsort1;main;15;8;10;0;706;9;1
automotive_qsort1;main;16;8;10;0;2301;9;1
automotive_qsort1;main;17;8;10;0;317;9;1
automotive_qsort1;main;18;8;10;0;237;9;1
automotive_qsort1;main;19;8;10;0;1301;9;1
automotive_qsort1;main;20;8;10;0;201;9;1
automotive_qsort1;main1;1;26;33;0;8170578;132;80
automotive_qsort1;main1;2;26;33;0;8688843;132;80
automotive_qsort1;main1;3;26;33;0;8488545;132;80
automotive_qsort1;main1;4;26;33;0;8305803;132;80
automotive_qsort1;main1;5;26;33;0;8542875;132;80
automotive_qsort1;main1;6;26;33;0;8833500;132;80
automotive_qsort1;main1;7;26;33;0;8355750;132;80
automotive_qsort1;main1;8;26;33;0;8707368;132;80
automotive_qsort1;main1;9;26;33;0;8326144;132;80
automotive_qsort1;main1;10;26;33;0;8427216;132;80
automotive_qsort1;main1;11;26;33;0;8774920;132;80
automotive_qsort1;main1;12;26;33;0;8370974;132;80
automotive_qsort1;main1;13;26;33;0;8441571;132;80
automotive_qsort1;main1;14;26;33;0;8725836;132;80
automotive_qsort1;main1;15;26;33;0;8930940;132;80
automotive_qsort1;main1;16;26;33;0;9071200;132;80
automotive_qsort1;main1;17;26;33;0;8286784;132;80
automotive_qsort1;main1;18;26;33;0;8291152;132;80
automotive_qsort1;main1;19;26;33;0;8856900;132;80
automotive_qsort1;main1;20;26;33;0;8126000;132;80
automotive_qsort1;qsortx;1;46;60;0;68230078;450;160
automotive_qsort1;qsortx;2;46;60;0;73769085;460;148
automotive_qsort1;qsortx;3;46;60;0;78483363;449;161
automotive_qsort1;qsortx;4;46;60;0;69505114;450;160
automotive_qsort1;qsortx;5;46;60;0;70868625;459;149
automotive_qsort1;qsortx;6;46;60;0;64819300;449;161
automotive_qsort1;qsortx;7;46;60;0;85845500;458;150
automotive_qsort1;qsortx;8;46;60;0;74678312;449;161
automotive_qsort1;qsortx;9;46;60;0;71927296;450;160
automotive_qsort1;qsortx;10;46;60;0;78530340;449;161
automotive_qsort1;qsortx;11;46;60;0;77147840;458;150
automotive_qsort1;qsortx;12;46;60;0;75957184;450;160
automotive_qsort1;qsortx;13;46;60;0;68175597;448;162
automotive_qsort1;qsortx;14;46;60;0;68728989;449;161
automotive_qsort1;qsortx;15;46;60;0;65765220;459;149
automotive_qsort1;qsortx;16;46;60;0;61734300;458;150
automotive_qsort1;qsortx;17;46;60;0;71257368;457;151
automotive_qsort1;qsortx;18;46;60;0;77599396;458;150
automotive_qsort1;qsortx;19;46;60;0;59772700;451;159
automotive_qsort1;qsortx;20;46;60;0;70603400;458;150
automotive_qsort1;shortsort;1;11;14;1280290;20260674;23;2
automotive_qsort1;shortsort;2;11;14;1354446;21589497;25;4
automotive_qsort1;shortsort;3;11;14;1330170;21000930;23;2
automotive_qsort1;shortsort;4;11;14;1287648;20611836;23;2
automotive_qsort1;shortsort;5;11;14;1330500;21082125;23;2
automotive_qsort1;shortsort;6;11;14;1391000;21768500;23;2
automotive_qsort1;shortsort;7;11;14;1294475;20833150;23;2
automotive_qsort1;shortsort;8;11;14;1351652;21760122;23;2
automotive_qsort1;shortsort;9;11;14;1297920;20704512;25;4
automotive_qsort1;shortsort;10;11;14;1313298;20908398;23;2
automotive_qsort1;shortsort;11;11;14;1365980;21848750;23;2
automotive_qsort1;shortsort;12;11;14;1300404;20803450;23;2
automotive_qsort1;shortsort;13;11;14;1307688;21092031;23;2
automotive_qsort1;shortsort;14;11;14;1363348;21594860;23;2
automotive_qsort1;shortsort;15;11;14;1379685;22318185;25;4
automotive_qsort1;shortsort;16;11;14;1380000;22986200;23;2
automotive_qsort1;shortsort;17;11;14;1277588;20871168;23;2
automotive_qsort1;shortsort;18;11;14;1294224;20512412;23;2
automotive_qsort1;shortsort;19;11;14;1371500;21703500;25;4
automotive_qsort1;shortsort;20;11;14;1266800;20195800;23;2
automotive_qsort1;swap;1;7;9;1622906;743732100;11;0
automotive_qsort1;swap;2;7;9;1697499;740302875;11;0
automotive_qsort1;swap;3;7;9;1709829;741721275;11;0
automotive_qsort1;swap;4;7;9;1672154;746834525;11;0
automotive_qsort1;swap;5;7;9;1720875;744131250;11;0
automotive_qsort1;swap;6;7;9;1716000;667842500;11;0
automotive_qsort1;swap;7;7;9;1679600;718648125;11;0
