Benchmark name;Function name;Execution;Number of vertices;Number of edges;Min count;Max count;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit
automotive_bitcount;bit_count;1;8;10;0;1059527520;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;2;8;10;0;1010273706;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;3;8;10;0;1011645882;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;4;8;10;0;992701303;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;5;8;10;0;997326315;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;6;8;10;0;1030727802;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;7;8;10;0;1022128404;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;8;8;10;0;962031231;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;9;8;10;0;969602440;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;10;8;10;0;952589974;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;11;8;10;0;1057163513;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;12;8;10;0;1484336036;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;13;8;10;0;932265675;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;14;8;10;0;952402577;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;15;8;10;0;975827710;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;16;8;10;0;974202625;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;17;8;10;0;983807836;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;18;8;10;0;983807836;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;19;8;10;0;996435297;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_count;20;8;10;0;993077560;0_10.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;1;8;10;90000000;2146754800;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;2;8;10;82875000;2054086320;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;3;8;10;81250000;2059531994;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;4;8;10;78375000;2018042611;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;5;8;10;76875000;1998191535;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;6;8;10;79625000;2095282124;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;7;8;10;78375000;2080931028;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;8;8;10;73125000;1954579932;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;9;8;10;73000000;1961404384;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;10;8;10;70875000;1912228836;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;11;8;10;78750000;2139207749;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;12;8;10;102500000;3012308924;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;13;8;10;92812500;1908779400;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;14;8;10;90737500;1949191804;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;15;8;10;89375000;1963347672;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;16;8;10;88687500;1989763295;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;17;8;10;88150000;2004610636;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;18;8;10;88150000;2004610636;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;19;8;10;87587500;2009823959;3_7.ce;0;3;1;3;1
automotive_bitcount;bit_shifter;20;8;10;86925000;2015676070;3_7.ce;0;3;1;3;1
automotive_bitcount;main;1;8;10;0;81;23;0;11;1;11;1
automotive_bitcount;main;2;8;10;0;40;23;0;11;1;11;1
automotive_bitcount;main;3;8;10;0;27;23;0;11;1;11;1
automotive_bitcount;main;4;8;10;0;20;23;0;11;1;11;1
automotive_bitcount;main;5;8;10;0;16;23;0;11;1;11;1
automotive_bitcount;main;6;8;10;0;14;23;0;11;1;11;1
automotive_bitcount;main;7;8;10;0;12;23;0;11;1;11;1
automotive_bitcount;main;8;8;10;0;10;23;0;11;1;11;1
automotive_bitcount;main;9;8;10;0;9;23;0;11;1;11;1
automotive_bitcount;main;10;8;10;0;8;23;0;11;1;11;1
automotive_bitcount;main;11;8;10;0;8;23;0;11;1;11;1
automotive_bitcount;main;12;8;10;0;3;23;0;11;1;11;1
automotive_bitcount;main;13;8;10;0;826;23;0;11;1;11;1
automotive_bitcount;main;14;8;10;0;428;23;0;11;1;11;1
automotive_bitcount;main;15;8;10;0;287;23;0;11;1;11;1
automotive_bitcount;main;16;8;10;0;216;23;0;11;1;11;1
automotive_bitcount;main;17;8;10;0;173;23;0;11;1;11;1
automotive_bitcount;main;18;8;10;0;173;23;0;11;1;11;1
automotive_bitcount;main;19;8;10;0;144;23;0;11;1;11;1
automotive_bitcount;main;20;8;10;0;123;23;0;11;1;11;1
automotive_bitcount;main1;1;17;21;0;630000560;23;0;20;1;20;1
automotive_bitcount;main1;2;17;21;0;580125273;23;0;20;1;20;1
automotive_bitcount;main1;3;17;21;0;568750182;23;0;20;1;20;1
automotive_bitcount;main1;4;17;21;0;548625133;23;0;20;1;20;1
automotive_bitcount;main1;5;17;21;0;538125105;23;0;20;1;20;1
automotive_bitcount;main1;6;17;21;0;557375091;23;0;20;1;20;1
automotive_bitcount;main1;7;17;21;0;548625077;23;0;20;1;20;1
automotive_bitcount;main1;8;17;21;0;511875063;23;0;20;1;20;1
automotive_bitcount;main1;9;17;21;0;511000056;23;0;20;1;20;1
automotive_bitcount;main1;10;17;21;0;496125049;23;0;20;1;20;1
automotive_bitcount;main1;11;17;21;0;551250049;23;0;20;1;20;1
automotive_bitcount;main1;12;17;21;0;717500014;23;0;20;1;20;1
automotive_bitcount;main1;13;17;21;0;649693275;23;0;20;1;20;1
automotive_bitcount;main1;14;17;21;0;635165489;23;0;20;1;20;1
automotive_bitcount;main1;15;17;21;0;625627002;23;0;20;1;20;1
automotive_bitcount;main1;16;17;21;0;620814005;23;0;20;1;20;1
automotive_bitcount;main1;17;17;21;0;617051204;23;0;20;1;20;1
automotive_bitcount;main1;18;17;21;0;617051204;23;0;20;1;20;1
automotive_bitcount;main1;19;17;21;0;613113501;23;0;20;1;20;1
automotive_bitcount;main1;20;17;21;0;608475854;23;0;20;1;20;1
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;2;4;5;82875000;526437834;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;3;4;5;81250000;532958556;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;4;4;5;78375000;522469714;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;5;4;5;76875000;517476090;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;6;4;5;79625000;539479278;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;7;4;5;78375000;533482466;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;8;4;5;73125000;499485654;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;9;4;5;73000000;499987248;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;10;4;5;70875000;486488842;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;11;4;5;78750000;541613842;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;12;4;5;102500000;775949048;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;13;4;5;92812500;485892825;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;14;4;5;90737500;507686347;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;15;4;5;89375000;511642846;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;16;4;5;88687500;513626615;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;17;4;5;88150000;514101292;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;18;4;5;88150000;514101292;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;19;4;5;87587500;513221423;0_11.ce;0;0;1;11;1
automotive_bitcount;ntbl_bitcnt;20;4;5;86925000;511053242;0_11.ce;0;0;1;11;1
automotive_qsort1;compare;1;4;5;73275076;148365384;0;1;0;1;11;1
automotive_qsort1;compare;2;4;5;70746327;155199123;0;1;0;1;11;1
automotive_qsort1;compare;3;4;5;80662842;164326293;0;1;0;1;11;1
automotive_qsort1;compare;4;4;5;74622568;149454221;0;1;0;1;11;1
automotive_qsort1;compare;5;4;5;72961500;154125750;0;1;0;1;11;1
automotive_qsort1;compare;6;4;5;70255900;141727300;0;1;0;1;11;1
automotive_qsort1;compare;7;4;5;70928000;167020750;0;1;0;1;11;1
automotive_qsort1;compare;8;4;5;77671585;157701185;0;1;0;1;11;1
automotive_qsort1;compare;9;4;5;76999680;157033216;0;1;0;1;11;1
automotive_qsort1;compare;10;4;5;83714736;167450346;0;1;0;1;11;1
automotive_qsort1;compare;11;4;5;60964750;148730890;0;1;0;1;11;1
automotive_qsort1;compare;12;4;5;77842304;158950962;0;1;0;1;11;1
automotive_qsort1;compare;13;4;5;73408203;148939236;0;1;0;1;11;1
automotive_qsort1;compare;14;4;5;74042367;152585111;0;1;0;1;11;1
automotive_qsort1;compare;15;4;5;65549490;142404360;0;1;0;1;11;1
automotive_qsort1;compare;16;4;5;61575600;134646600;0;1;0;1;11;1
automotive_qsort1;compare;17;4;5;66332508;147924972;0;1;0;1;11;1
automotive_qsort1;compare;18;4;5;72922112;160602484;0;1;0;1;11;1
automotive_qsort1;compare;19;4;5;65087100;134709900;0;1;0;1;11;1
automotive_qsort1;compare;20;4;5;75428200;155952600;0;1;0;1;11;1
automotive_qsort1;main;1;8;10;0;227;22;0;11;1;11;1
automotive_qsort1;main;2;8;10;0;424;22;0;11;1;11;1
automotive_qsort1;main;3;8;10;0;304;22;0;11;1;11;1
automotive_qsort1;main;4;8;10;0;264;22;0;11;1;11;1
automotive_qsort1;main;5;8;10;0;376;22;0;11;1;11;1
