Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_bitcount;bit_count;1;8;10;0;1059527520;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;2;8;10;0;1010273706;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;3;8;10;0;1011645882;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;4;8;10;0;992701303;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;5;8;10;0;997326315;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;6;8;10;0;1030727802;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;7;8;10;0;1022128404;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;8;8;10;0;962031231;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;9;8;10;0;969602440;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;10;8;10;0;952589974;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;11;8;10;0;1057163513;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;12;8;10;0;1484336036;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;13;8;10;0;932265675;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;14;8;10;0;952402577;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;15;8;10;0;975827710;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;16;8;10;0;974202625;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;17;8;10;0;983807836;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;18;8;10;0;983807836;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;19;8;10;0;996435297;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;20;8;10;0;993077560;"3;5";0_10.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;1;8;10;90000000;2146754800;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;2;8;10;82875000;2054086320;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;3;8;10;81250000;2059531994;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;4;8;10;78375000;2018042611;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;5;8;10;76875000;1998191535;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;6;8;10;79625000;2095282124;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;7;8;10;78375000;2080931028;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;8;8;10;73125000;1954579932;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;9;8;10;73000000;1961404384;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;10;8;10;70875000;1912228836;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;11;8;10;78750000;2139207749;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;12;8;10;102500000;3012308924;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;13;8;10;92812500;1908779400;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;14;8;10;90737500;1949191804;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;15;8;10;89375000;1963347672;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;16;8;10;88687500;1989763295;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;17;8;10;88150000;2004610636;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;18;8;10;88150000;2004610636;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;19;8;10;87587500;2009823959;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;20;8;10;86925000;2015676070;"3;7";3_7.ce;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;1;8;10;0;81;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;2;8;10;0;40;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;3;8;10;0;27;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;4;8;10;0;20;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;5;8;10;0;16;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;6;8;10;0;14;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;7;8;10;0;12;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;8;8;10;0;10;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;9;8;10;0;9;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;10;8;10;0;8;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;11;8;10;0;8;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;12;8;10;0;3;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;13;8;10;0;826;11;23;0;11;1;11;1;11;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
