Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;10,391;10,676;12,717;36,264;4510,118;10,710;13,103;36,860;4623,050
automotive_qsort1;9,888;9,968;12,559;25,537;3703,193;9,870;12,742;26,416;3702,510
automotive_susan_c;32,495;33,313;62,252;584,900;5241,212;32,524;64,466;613,562;5217,090
automotive_susan_e;32,793;33,999;62,576;571,952;4983,568;32,660;63,886;617,802;5041,963
automotive_susan_s;32,658;33,255;62,262;562,716;4961,147;32,683;64,106;606,256;5010,374
bzip2d;83,743;86,823;259,415;6045,609;14374,290;82,701;268,703;6376,846;14637,021
bzip2e;82,142;85,301;261,119;6143,671;14264,996;82,694;273,629;6355,477;14487,341
network_dijkstra;9,559;9,756;11,325;20,406;734,109;9,586;11,380;20,108;734,835
network_patricia;11,747;11,944;15,339;43,252;3219,654;11,722;15,667;79,375;3584,086
office_stringsearch1;11,827;12,127;17,038;49,669;4671,183;11,893;17,539;52,084;4049,600
security_blowfish_d;16,023;16,200;19,238;70,334;6764,721;15,727;19,587;71,400;6839,760
security_blowfish_e;16,014;15,869;19,673;69,657;6765,300;16,010;19,884;71,200;6867,734
security_rijndael_d;27,297;27,998;31,396;172,003;21666,766;27,290;31,380;173,991;21668,767
security_sha;10,032;10,215;11,798;26,605;7796,601;10,429;12,206;26,920;7951,832
telecom_CRC32;8,684;8,748;9,476;13,592;2003,399;8,759;9,822;13,767;1895,743
telecom_adpcm_c;9,367;9,504;10,984;18,016;3149,250;9,244;11,137;18,324;3208,516
telecom_adpcm_d;9,130;9,441;11,014;18,204;5044,929;9,374;11,306;18,220;4969,857
