Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
automotive_susan_c;susan_corners;1;178;259;0;203351280;"1077;26;1067;1080;1550;29;1080_1550.ce;29_1067.ce;213;225;236;246;260;271;282;293;304;315;325;339;350;361;372;382;213_1067.ce;396;407;417;225_1067.ce;1026;846;417_1067.ce;236_1067.ce;1026_1067.ce;260_1067.ce;848;864;891;920;282_1067.ce;246_1067.ce;1013;937;956;984;271_1067.ce;293_1067.ce;304_1067.ce;860;886;915;339_1067.ce;856;881;910;1008;952;979;1003;948;974;315_1067.ce;361_1067.ce;325_1067.ce;350_1067.ce;1028;1087;1096;1105;1114;1122;372_1067.ce;1131;1140;1149;1158;1167;1176;1184;1193;1202;1211;1220;1229;1238;1246;1255;1264;396_1067.ce;1273;1281;382_1067.ce;1289;1297;1305;1313;1321;1330;1339;1348;1073;22;1070;1077.ph;1553;26.ph;407_1067.ce;1356;1365;1374;1383;1392;1401;1410;1418;1427;1436;1445;1454;1463;1472;1480;1489;1498;1507;1507_1550.ce;1289_1550.ce;1238_1550.ce;1348_1550.ce;1297_1550.ce;1176_1550.ce;1105_1550.ce;1229_1550.ce;1167_1550.ce;1114_1550.ce;1211_1550.ce;1281_1550.ce;1246_1550.ce;1273_1550.ce;1339_1550.ce;1184_1550.ce;1122_1550.ce;1220_1550.ce;1255_1550.ce;1096_1550.ce;1313_1550.ce;1158_1550.ce;1330_1550.ce;1410_1550.ce;1264_1550.ce;1305_1550.ce;1087_1550.ce;1140_1550.ce;1149_1550.ce;1321_1550.ce;1356_1550.ce;1131_1550.ce;1202_1550.ce;1365_1550.ce;1193_1550.ce;1463_1550.ce;1472_1550.ce;1374_1550.ce;1392_1550.ce;1401_1550.ce;1489_1550.ce;1418_1550.ce;1427_1550.ce;1445_1550.ce;1436_1550.ce;1498_1550.ce;0;1073.ph;1383_1550.ce;1480_1550.ce;1555;1454_1550.ce;1544";"1077;26;1070;1080;29;396;1080_1550.ce;29_1067.ce;213;225;236;246;260;0;271;282;293;304;315;325;350;361;372;339;382;213_1067.ce;407;417;225_1067.ce;1026;1067;846;417_1067.ce;236_1067.ce;1026_1067.ce;260_1067.ce;848;864;891;920;282_1067.ce;246_1067.ce;1013;937;956;984;271_1067.ce;293_1067.ce;304_1067.ce;860;886;915;339_1067.ce;856;881;910;1008;952;979;1003;948;974;315_1067.ce;361_1067.ce;325_1067.ce;350_1067.ce;1028;1087;1550;1096;1105;1114;1122;372_1067.ce;1131;1140;1149;1158;1167;1176;1184;1193;1202;1211;1220;1229;1238;1246;1255;1264;396_1067.ce;1273;1281;382_1067.ce;1289;1297;1305;1313;1321;1330;1339;1348;1073;22;1077.ph;1553;26.ph;407_1067.ce;1356;1365;1374;1383;1392;1401;1410;1418;1427;1436;1445;1454;1463;1472;1480;1489;1498;1507;1507_1550.ce;1289_1550.ce;1238_1550.ce;1348_1550.ce;1297_1550.ce;1176_1550.ce;1105_1550.ce;1229_1550.ce;1167_1550.ce;1114_1550.ce;1211_1550.ce;1281_1550.ce;1246_1550.ce;1273_1550.ce;1339_1550.ce;1184_1550.ce;1122_1550.ce;1220_1550.ce;1255_1550.ce;1096_1550.ce;1313_1550.ce;1158_1550.ce;1330_1550.ce;1410_1550.ce;1264_1550.ce;1305_1550.ce;1087_1550.ce;1140_1550.ce;1149_1550.ce;1321_1550.ce;1356_1550.ce;1131_1550.ce;1202_1550.ce;1365_1550.ce;1193_1550.ce;1463_1550.ce;1472_1550.ce;1374_1550.ce;1392_1550.ce;1401_1550.ce;1489_1550.ce;1418_1550.ce;1427_1550.ce;1445_1550.ce;1436_1550.ce;1498_1550.ce;1073.ph;1383_1550.ce;1480_1550.ce;1555;1454_1550.ce;1544";368;0,9766
automotive_susan_e;edge_draw;1;16;21;0;100980374;"42;8;11;36;45;54;11_36.ce;45_54.ce;15;49;0;41;41.le;58;8.ph;0_41.ce";"42;8;11;36;45;54;11_36.ce;45_54.ce;15;49;0;41;41.le;58;8.ph;0_41.ce";0;1,0000
automotive_susan_e;getint;1;14;18;0;3366;"22;29;29_22.ce;14;4;4_14.ce;0;22.ph;36;36split;19;11;22_36.ce;6";"22;29;29_22.ce;14;4_14.ce;0;19;36;36split;4;11;22.ph;22_36.ce;6";11;0,8791
automotive_susan_e;main;1;7;9;0;375;"11;14;0;18;18.le;8;5";"11;14;0;18;18.le;8;5";0;1,0000
automotive_susan_e;main1;1;48;70;0;748;"36;0;0_33.ce;122;138;143;145;148;152;191;33;38;45;50;83;85;97;105;107;112;117;133;143_148.ce;154;162;171;173;179;185;189;32;45_83.ce;49;51;52;53;54;55;56;57;60;62;71;74;76;82;85_191.ce;91";"36;0;0_33.ce;122;138;143;145;148;152;191;33;38;45;50;74;83;85;97;105;107;112;117;133;143_148.ce;154;162;171;173;179;185;189;32;45_83.ce;49;51;52;53;54;55;56;57;60;62;71;76;82;85_191.ce;91";29;0,9743
automotive_susan_e;setup_brightness_lut;1;4;5;374;192236;"6;8;0;28";"6;8;0;28";0;1,0000
automotive_susan_e;susan_edges;1;48;67;374;98803320;"29;32;391;401;1498;404;32_391.ce;404_1498.ce;384;411;937;427;1450;939;427_937.ce;1440;1459;862;888;937_1498.ce;1468;1450_1498.ce;1479;878;897;1490;1459_1498.ce;888_937.ce;939_1450.ce;862_888.ce;897_937.ce;906;917;928;411_937.ce;1468_1498.ce;1479_1498.ce;25;29.ph;394;397;1501;401.ph;906_937.ce;917_937.ce;0;1503;397.ph";"29;32;391;401;404;32_391.ce;404_1498.ce;384;411;937;427;1450;939;1440;427_937.ce;878;1459;1498;862;888;937_1498.ce;1468;888_937.ce;1479;862_888.ce;897;928;897_937.ce;1450_1498.ce;1459_1498.ce;906;917;1490;411_937.ce;906_937.ce;917_937.ce;25;1501;29.ph;394;397;401.ph;939_1450.ce;1468_1498.ce;1479_1498.ce;0;1503;397.ph";89;0,9211
automotive_susan_e;susan_thin;1;92;131;0;307250724;"50;53;955;53_955.ce;526;61;838;61_526.ce;838_955.ce;528;684;528_684.ce;450;452;468;725;725_838.ce;452_468.ce;684_838.ce;447;450.ph;471;526_838.ce;840;142;460;150;446;473;573;240;268;881;297;840_955.ce;881_955.ce;573_684.ce;475;509;473_526.ce;325;46;50.ph;958;578;590;730;483;730_838.ce;509_526.ce;306;334;580;603;637;513;353;492;142_526.ce;382;249;605;391;637_838.ce;590_838.ce;585;603_637.ce;639;938;135;605_637.ce;615;278;649;823;410;420;221;363;639_838.ce;626;660;671;626_637.ce;615_637.ce;649_838.ce;660_671.ce;660_838.ce;626_671.ce;0;960;410_446.ce";"50;53;958;53_955.ce;0;526;61;838;955;61_526.ce;473_526.ce;838_955.ce;528;468;684;528_684.ce;450;452;471;725;725_838.ce;452_468.ce;684_838.ce;447;450.ph;526_838.ce;840;142;460;150;446;473;50.ph;573;240;268;881;297;840_955.ce;881_955.ce;573_684.ce;475;509;637_838.ce;325;46;578;730;483;730_838.ce;509_526.ce;306;334;580;590;603;637;513;353;492;142_526.ce;382;249;605;391;590_838.ce;585;603_637.ce;639;938;135;605_637.ce;615;278;649;823;410;420;221;363;639_838.ce;626;660;671;626_637.ce;615_637.ce;649_838.ce;660_671.ce;660_838.ce;626_671.ce;960;410_446.ce";211;0,9496
automotive_susan_s;enlarge;1;13;17;49;159495;"75;80;6;8;28;72;124;30;75.ph;0;126;28.ph;72.ph";"75;80;6;8;28;72;124;30;75.ph;0;126;28.ph;72.ph";0;1,0000
automotive_susan_s;getint;1;14;18;0;441;"22;29;29_22.ce;14;4;4_14.ce;0;22.ph;36;36split;19;11;22_36.ce;6";"22;29;29_22.ce;14;4_14.ce;0;19;36;36split;4;11;22.ph;22_36.ce;6";11;0,8791
automotive_susan_s;main;1;7;9;0;50;"11;14;0;18;18.le;8;5";"11;14;0;18;18.le;8;5";0;1,0000
automotive_susan_s;main1;1;48;70;0;98;"36;0;0_33.ce;191;33;38;45;49;83;85;91;105;107;112;117;122;133;138;143;143_148.ce;145;148;152;154;162;171;173;179;185;189;32;45_83.ce;50;51;52;53;54;55;56;57;60;62;71;74;76;82;85_191.ce;97";"36;0;0_33.ce;191;33;38;45;49;74;83;85;91;105;107;112;117;122;133;138;143;143_148.ce;145;148;152;154;162;171;173;179;185;189;32;45_83.ce;50;51;52;53;54;55;56;57;60;62;71;76;82;85_191.ce;97";35;0,9690
automotive_susan_s;setup_brightness_lut;1;4;5;49;25186;"6;8;0;28";"6;8;0;28";0;1,0000
automotive_susan_s;susan_smoothing;1;41;53;0;3175200000;"140;142;136;138;160;109;113;165;173;180;104;109.ph;183;84;86;80;101;82;0;104.ph;185;340;44;49;58;69;168;187;187.ph;192;192.ph;196;322;327;334;337;340.le;39;44_54.ce;49_54.ce;54";"140;142;136;138;160;109;113;165;173;180;104;109.ph;183;84;86;80;101;82;0;104.ph;185;340;49;58;69;168;187;187.ph;192;192.ph;196;322;327;334;337;340.le;39;44;44_54.ce;49_54.ce;54";15;0,9817
bzip2d;BZ2_bzDecompress;1;46;62;0;25120;"14;19;0;124;14.ph;3;8;124.le;124_opexitsplit.loopexitsplit;124_opexitsplitsplit.loopexitsplitsplit;23;29;31;34;34_124.loopexitsplitsplit.ce;91;95;117;19_91.ce;124_opexitsplitsplitsplit.loopexitsplitsplitsplit;124_opexitsplitsplitsplitsplit.loopexitsplitsplitsplitsplit;124_opexitsplitsplitsplitsplitsplit.loopexitsplitsplitsplitsplitsplit;117_123.ce;123;41;45;45_60.ce;60;60_67.ce;67;74;109;98;98_109.ce;0_124.ce;102;14_124.loopexit.ce;27;31_124.loopexitsplit.ce;3_124.ce;41_124.loopexitsplitsplitsplit.ce;53;64;67_124.loopexitsplitsplitsplitsplit.ce;8_124.ce;91_123.ce";"14;19;0;124;14.ph;3;8;23;29;31;34;124.le;14_124.loopexit.ce;124_opexitsplitsplit.loopexitsplitsplit;95;117;19_91.ce;41_124.loopexitsplitsplitsplit.ce;117_123.ce;123;41;45;45_60.ce;60;60_67.ce;67;74;91;109;124_opexitsplitsplitsplit.loopexitsplitsplitsplit;98;98_109.ce;0_124.ce;102;124_opexitsplit.loopexitsplit;124_opexitsplitsplitsplitsplit.loopexitsplitsplitsplitsplit;124_opexitsplitsplitsplitsplitsplit.loopexitsplitsplitsplitsplitsplit;27;31_124.loopexitsplit.ce;34_124.loopexitsplitsplit.ce;3_124.ce;53;64;67_124.loopexitsplitsplitsplitsplit.ce;8_124.ce;91_123.ce";152;0,8531
bzip2d;BZ2_bzDecompressEnd;1;17;23;0;80;"0;12;16;2;23;23_34.ce;34;34_45.ce;45;53;7;0_53.ce;12_23.ce;27;2_53.ce;38;7_53.ce";"0;12;16;2;23;23_34.ce;34;34_45.ce;45;53;7;0_53.ce;12_23.ce;27;2_53.ce;38;7_53.ce";0;1,0000
bzip2d;BZ2_bzDecompressInit;1;20;28;0;80;"0;13;18;22;24;28;30;38;5;56;8;8_13.ce;0_56.ce;13_56.ce;18_24.ce;24_30.ce;30_56.ce;5_56.ce;8_13.crit_edge1;8_56.ce";"0;13;18;22;24;28;30;38;5;56;8_13.ce;0_56.ce;13_56.ce;18_24.ce;24_30.ce;30_56.ce;5_56.ce;8;8_13.crit_edge1;8_56.ce";7;0,9632
bzip2d;BZ2_bzRead;1;85;119;0;24960;"102;50;63;118;142;156;118_142.ce;0;170;23;35;4;45;5;7;161;163;164;166;63_102.ce;68;73;92;156_50.ce;124;124_142.ce;102_144.ce;144;146;147;149;151;0_5.ce;108;108_111.ce;110;111;111_170.ce;113;129;129_142.ce;134;134_137.ce;136;137;137_170.ce;139;144_147.ce;144split;147_151.ce;15;15_18.ce;161_164.ce;164_170.ce;17;18;18_170.ce;20;27;27_30.ce;29;30;30_170.ce;32;37;37_40.ce;39;40;40_170.ce;42;55;55_58.ce;57;58;58_170.ce;5_15.ce;60;68_102.ce;7_15.ce;84;84_87.ce;86;87;87_170.ce;89";"0;102;142;50;63;118;118_142.ce;156;17;170;18;23;35;45;7;144;156_50.ce;161;32;4;68;73;124;124_142.ce;134;149;151;163;164;0_5.ce;102_144.ce;108;108_111.ce;110;111;111_170.ce;113;129;129_142.ce;134_137.ce;136;137;137_170.ce;139;144_147.ce;144split;146;147;147_151.ce;15;15_18.ce;161_164.ce;164_170.ce;166;18_170.ce;20;27;27_30.ce;29;30;30_170.ce;37;37_40.ce;39;40;40_170.ce;42;5;55;55_58.ce;57;58;58_170.ce;5_15.ce;60;63_102.ce;68_102.ce;7_15.ce;84;84_87.ce;86;87;87_170.ce;89;92";429;0,8798
bzip2d;BZ2_bzReadClose;1;22;30;0;80;"0;2;29;3;33;36;37;5;0_3.ce;11;12;12_37.ce;14;21;21_24.ce;23;24;24_37.ce;26;29_36.ce;9;9_12.ce";"0;11;12;29;3;33;36;37;5;0_3.ce;12_37.ce;14;2;21;21_24.ce;23;24;24_37.ce;26;29_36.ce;9;9_12.ce";25;0,8918
bzip2d;BZ2_bzReadGetUnused;1;29;40;0;80;"0;12;24;36;38;39;41;43;50;16;16_19.ce;18;19;19_50.ce;21;28;28_31.ce;30;31;31_50.ce;33;36_39.ce;39_43.ce;4;4_7.ce;6;7;7_50.ce;9";"0;12;24;28;36;38;39;41;43;50;16;16_19.ce;18;19;19_50.ce;21;28_31.ce;30;31;31_50.ce;33;36_39.ce;39_43.ce;4;4_7.ce;6;7;7_50.ce;9";12;0,9704
bzip2d;BZ2_bzReadOpen;1;60;83;0;80;"0;107;117;13;15;15_19.ce;19;23;27;29;29_41.ce;41;52;63;65;66;68;70;8;81;9;95;9_13.ce;0_9.ce;101;102;102_106.ce;104;106;11;13_33.ce;15_19.crit_edge1;15_33.ce;19_33.ce;23_33.ce;27_41.ce;29_33.ce;33;33_36.ce;35;36;36_117.ce;38;44;44_47.ce;46;47;47_117.ce;49;55;55_58.ce;57;58;58_117.ce;60;63_66.ce;66_70.ce;83;99;99_102.ce";"0;107;117;13;19;23;27;29_41.ce;33_36.ce;41;52;63;65;66;68;70;8;81;9;95;9_13.ce;0_9.ce;101;102;102_106.ce;104;106;11;13_33.ce;15;15_19.ce;15_19.crit_edge1;15_33.ce;19_33.ce;23_33.ce;27_41.ce;29;29_33.ce;33;35;36;36_117.ce;38;44;44_47.ce;46;47;47_117.ce;49;55;55_58.ce;57;58;58_117.ce;60;63_66.ce;66_70.ce;83;99;99_102.ce";104;0,9412
