Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;36,930;28,052;38,363;56,842;5245,214;38,275;43,180;95,303;4760,779
automotive_qsort1;11,061;11,345;16,123;29,591;3813,066;11,107;16,866;30,103;3756,478
automotive_susan_c;31,575;32,563;62,238;567,055;5907,219;38,003;72,085;623,546;6121,969
automotive_susan_e;31,510;32,385;61,767;571,178;5214,610;31,511;64,353;604,701;5265,987
automotive_susan_s;34,510;32,631;64,799;577,661;5129,500;31,962;65,238;619,097;5194,317
bzip2d;122,153;104,008;511,883;4479,791;13833,612;100,794;519,709;4707,531;14011,943
bzip2e;112,981;105,439;557,865;4395,601;13219,579;98,229;523,278;4707,562;13397,815
network_dijkstra;10,474;11,283;14,100;53,719;838,332;11,619;14,338;24,111;741,786
network_patricia;11,044;11,011;12,977;37,026;3338,087;14,582;17,134;38,646;3329,520
office_stringsearch1;14,476;13,854;24,147;60,390;4176,348;13,340;22,508;63,563;4170,656
security_blowfish_d;16,646;17,105;19,584;70,545;6889,784;17,438;20,157;72,172;6892,667
security_blowfish_e;16,807;16,489;19,621;70,013;6969,534;16,338;19,531;71,872;6960,379
security_rijndael_d;23,403;24,117;27,280;169,706;23004,355;23,538;26,592;170,212;22926,191
security_sha;11,651;11,811;13,002;26,258;8122,870;11,481;13,585;26,344;8187,306
telecom_CRC32;10,027;10,277;10,957;14,283;1943,647;9,643;10,847;14,611;2002,175
telecom_adpcm_c;9,383;9,648;10,680;15,956;3207,903;9,314;10,457;17,067;3213,307
telecom_adpcm_d;9,452;9,644;10,214;17,398;5079,600;9,713;11,205;17,033;5035,178
