Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;11,400;30,737;27,778;91,882;5777,447;10,390;12,647;38,218;5664,480
automotive_qsort1;10,111;10,267;12,519;24,512;3886,479;9,879;12,524;24,393;3974,773
automotive_susan_c;32,107;33,024;49,049;437,269;7394,347;32,951;49,454;471,321;7325,856
automotive_susan_e;32,576;32,625;48,677;433,716;5198,084;33,009;50,656;463,670;5375,840
automotive_susan_s;32,784;33,026;48,983;436,946;5066,835;32,473;50,555;472,729;4896,667
bzip2d;83,269;86,455;245,817;5297,755;14911,213;84,217;253,108;5370,089;14993,276
bzip2e;84,025;86,311;245,002;5222,761;14191,875;84,208;251,977;5299,503;14304,222
network_dijkstra;9,442;9,827;14,168;20,603;816,054;9,670;11,420;20,661;805,465
network_patricia;11,282;11,520;14,142;47,134;3963,427;11,743;14,747;43,291;4046,699
office_stringsearch1;11,991;12,336;16,999;49,768;4217,131;12,094;17,178;50,703;4166,835
security_blowfish_d;15,758;16,045;18,203;63,616;7043,579;15,796;18,523;64,058;7043,534
security_blowfish_e;15,684;15,823;18,471;62,743;6949,546;15,953;18,493;64,485;6930,949
security_rijndael_d;28,017;27,668;31,440;167,884;22778,762;27,718;31,645;167,817;23212,124
security_sha;10,270;10,531;11,916;25,589;8062,558;10,293;12,045;26,568;8147,554
telecom_CRC32;8,879;9,086;9,857;13,677;1939,868;13,225;9,903;14,224;1946,809
telecom_adpcm_c;9,137;9,251;10,053;14,100;4162,287;9,114;10,177;14,425;4147,906
telecom_adpcm_d;8,930;9,024;9,800;14,466;4851,037;8,903;9,907;14,373;4852,661
