Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;14,101;14,131;16,456;43,849;5181,120;13,829;16,140;42,901;4936,439
automotive_qsort1;10,275;10,296;13,846;28,754;3900,403;10,904;15,138;26,859;3851,157
automotive_susan_c;45,532;40,852;80,036;571,493;6003,684;37,127;82,851;649,395;6167,033
automotive_susan_e;40,923;35,308;68,312;673,204;6134,851;33,472;65,648;658,655;5439,035
automotive_susan_s;32,045;33,232;63,133;688,613;5754,723;33,042;67,248;694,579;5470,900
bzip2d;106,108;163,092;552,427;4400,789;14700,546;89,812;519,618;5322,069;14852,039
bzip2e;97,322;94,530;689,644;4507,314;13708,004;92,865;512,684;5643,453;15196,360
network_dijkstra;19,570;17,062;20,535;29,782;907,799;11,390;15,973;25,501;913,561
network_patricia;14,810;14,924;18,439;92,043;4657,230;11,761;15,724;45,442;3727,637
office_stringsearch1;16,670;15,207;42,125;57,628;4356,814;18,264;31,436;64,395;5073,351
security_blowfish_d;23,304;24,032;25,326;72,009;7251,198;16,703;20,623;77,314;7360,799
security_blowfish_e;15,914;16,511;19,320;68,922;7194,200;19,345;22,232;76,535;7314,688
security_rijndael_d;26,996;24,964;28,628;178,476;25520,351;22,347;28,052;188,150;26381,049
security_sha;10,796;10,965;13,339;27,516;8480,720;11,725;14,790;28,255;8634,854
telecom_CRC32;10,002;10,031;9,895;16,035;2078,535;10,301;11,716;15,693;2133,906
telecom_adpcm_c;10,179;10,347;11,134;17,836;3339,263;10,203;11,236;18,450;3496,226
telecom_adpcm_d;13,617;12,317;14,170;18,898;5310,275;11,405;12,727;19,685;5475,733
