Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
automotive_bitcount;bit_count;1;7;9;0;1059527520;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"0;3.ph;0_10.ce;10;10.le;3;3_3.ce";14;0,3333
automotive_bitcount;bit_shifter;1;4;5;90000000;2146754800;"3;9;0;16";"0;16;3;9";4;0,3333
automotive_bitcount;main;1;7;9;0;81;"11;14;0;23;23.le;8;5";"0;11;14;23;23.le;8;5";2;0,9048
automotive_bitcount;main1;1;15;19;0;630000560;"20;23;17;20.ph;33;41;33_41.ce;0;16;43;9;9_16.ce;35;14;6";"20;41;23;17;9_16.ce;20.ph;33;33_41.ce;0;16;43;9;35;14;6";11;0,8952
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;"0;11;8;0_11.ce";"0;11;8;0_11.ce";0;1,0000
automotive_qsort1;compare;1;4;5;73275076;148365384;"0;11;7;0_11.ce";"0;11;7;0_11.ce";0;1,0000
automotive_qsort1;main;1;7;9;0;227;"11;14;0;23;23.le;8;5";"0;11;14;23;23.le;8;5";2;0,9048
automotive_qsort1;main1;1;23;29;0;8170578;"15;18;21;28;0;11;15_57.ce;57;63;94;57_63.ce;63_94.ce;73;75;61;66;73.ph;92;18_57split.ce;57split;57splitsplit;69;8";"0;18;15;28;61;11;15_57.ce;63;94;57_63.ce;63_94.ce;73;66;73.ph;92;18_57split.ce;21;57;57split;57splitsplit;69;75;8";43;0,8300
automotive_qsort1;qsortx;1;39;52;0;68230078;"49;55;38;43;55_49.ce;43_38.ce;37;48;60;48split;60split;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;30;64;29;73;77;86;90;98;86_20.outer.backedge.ce;102;92;108.le;90_98.ce;86_108.ce;49_60.ce;38_48.ce;0;119;119.le;15;0_119.ce;73_86.ce";"60;20_ter.outer;0;43;48;43_38.ce;37;63;20;20_ter.backedge.outer.backedge;90_98.ce;108;111;30;64;29;86_20.outer.backedge.ce;73;77;86;90;98;102;92;38_48.ce;119;119.le;15;0_119.ce;108.le;38;48split;49;49_60.ce;55;55_49.ce;60split;73_86.ce;86_108.ce";250;0,6626
automotive_qsort1;shortsort;1;7;9;1280290;20260674;"10;12;6;20;7;0;24";"0;6;7;20;24;10;12";14;0,3333
