Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
bzip2d;BZ2_bzRead;1;68;94;0;24960;"102;50;63;118;156;118_156.ce;0;11;13;170;23;35;4;45;5;161;163;168;63_102.ce;68;73;92;169;124;124_156.ce;106;144;146;151;0_5.ce;108;108_115.ce;110;115;11_15.ce;129;129_156.ce;134;134_141.ce;136;13_15.ce;141;144_151.ce;15;15_18.ce;161_168.ce;17;18;18_170.ce;20;27;27_34.ce;29;34;37;37_44.ce;39;44;55;55_62.ce;57;5_15.ce;62;68_102.ce;84;84_91.ce;86;91";"0;0_5.ce;18;20;4;102;50;63;118;156;37;13;170;23;35;45;18_170.ce;27;63_102.ce;68;73;92;169;124;106;108;108_115.ce;11;110;115;118_156.ce;11_15.ce;124_156.ce;129;129_156.ce;134;134_141.ce;136;13_15.ce;141;144;144_151.ce;146;15;151;15_18.ce;161;161_168.ce;163;168;17;27_34.ce;29;34;37_44.ce;39;44;5;55;55_62.ce;57;5_15.ce;62;68_102.ce;84;84_91.ce;86;91";441;0,8064
bzip2d;BZ2_bzReadClose;1;17;23;0;80;"0;17;17_29.ce;29;3;33;36;37;11;17_read.bb28.ce;17_read.bb29.ce;17_read.thread;23;28;29_36.ce;3_read.bb37.ce;3_read.thread";"0;29;28;33;36;37;11;17;17_29.ce;17_read.bb28.ce;17_read.bb29.ce;17_read.thread;23;29_36.ce;3;3_read.bb37.ce;3_read.thread";30;0,7794
bzip2d;BZ2_bzReadGetUnused;1;22;30;0;80;"0;12;24;26;36;38;43;50;16;16_23.ce;18;23;24_28.ce;26_28.ce;28;28_35.ce;30;35;36_43.ce;4;4_50.ce;6";"0;12;23;24;26;4;43;50;6;16;16_23.ce;18;24_28.ce;26_28.ce;28;28_35.ce;30;35;36;36_43.ce;38;4_50.ce";59;0,7446
bzip2d;BZ2_bzReadOpen;1;47;66;0;80;"0;107;117;13;15;15_19.ce;19;21;23;29;31;31_41.ce;41;52;63;65;70;8;81;95;0_13.ce;101;106;13_33.ce;17;17_19.ce;17_33.ce;19_33.ce;21_33.ce;25;25_33.ce;25_41.ce;29_33.ce;31_33.ce;33;33_117.ce;35;44;44_117.ce;46;55;55_117.ce;57;63_70.ce;83;99;99_106.ce";"13;15;0_13.ce;70;8;0;107;117;15_19.ce;19;21;25_41.ce;29;31;41;44;52;81;95;101;106;13_33.ce;17;17_19.ce;17_33.ce;19_33.ce;21_33.ce;23;25;25_33.ce;29_33.ce;31_33.ce;31_41.ce;33;33_117.ce;35;44_117.ce;46;55;55_117.ce;57;63;63_70.ce;65;83;99;99_106.ce";169;0,8437
bzip2d;BZ2_decompress;1;700;979;0;197749200;"3195;3154;3453;3456;3197;3386;3920;3946;2861;2864;2866;3384;3139;3142;3145;3194;3209;3320;3343;3353;3382;3452;3533;3539;3546;3156;3353_3382.ce;3466;3464;3462;3530;3403;3410;3410_3451.ce;3451;3124;2980;2983;2913;3126;3129;2911;2869;2880;2909;2979;3060;3066;3081;3083;2868;3087;3123;3138;3138_opexit17.loopexit17;2880_2909.ce;2871;2864_2868.ce;3481;3488;3488_3529.ce;3529;2993;2199;2991;2989;3057;2197;2196;2264;2300;2930;2937;2937_2978.ce;2978;2268;2272;2303;2193;2290;2195;2278;2292;2317;3356;3360;2874;2876;2866_2868.ce;3008;3015;3015_3056.ce;3056;2215;2222;2222_2263.ce;2263;2883;2887;3085;2642;3596;1938;2630;3566;3580;3598;3604;3612;1944;2636;2652;3577;3593;2401;2393;2395;2395_2399.ce;2399;2466;2473;2390;2562;2392;2553;2564;2581;2599;2466_2471.ce;2471;2538;2545;2581_2599.ce;2564_2581.ce;2541;0;397;4700;0_397.ce;3083_2869.ce;1961;1956;1956_1959.ce;1959;2026;2036;2543;397_3384.ce;4700_opexit22.loopexit22;2573;2417;2424;2424_2465.ce;2465;1858;2026_2036.ce;1853;1947;2639;1853_1856.ce;1856;1923;1935;1949;2040;2641;2659;2029;1930;1949_2040.ce;2489;2496;2496_2537.ce;2537;2590;397_3464.ce;4700_opexit21.loopexit21;2325;2281;2320;2559;397_2911.ce;4700_opexit20.loopexit20;2287;2320_2323.ce;2323;2389;2556;2561;2621;1977;1984;1984_2025.ce;2025;2340;2347;2347_2388.ce;2388;2760;2763;2773;804;2125;2769;2771;2837;1024;1096;1168;1253;1327;1401;1475;1619;1693;1767;1874;1881;1881_1922.ce;1922;1926;1955;1956_2040.ce;880;952;1549;2053;2140;2147;2147_2188.ce;2188;2693;802;820;827;827_868.ce;868;869;1016;1017;1017_1022.ce;1022;1040;1047;1047_1088.ce;1088;1089;1089_1094.ce;1094;1112;1119;1119_1160.ce;1160;1161;1161_1166.ce;1166;1184;1191;1191_1232.ce;1232;1233;1237;1237_1249.ce;1249;1251;1269;1276;1276_1317.ce;1317;1318;1325;1343;1350;1350_1391.ce;1391;1392;1399;1417;1424;1424_1465.ce;1465;1466;1473;1491;1498;1498_1539.ce;1539;1540;1547;1615;1617;1635;1642;1642_1683.ce;1683;1684;1691;1709;1716;1716_1757.ce;1757;1758;1765;1783;1790;1790_1831.ce;1831;1832;1843;1852;1937;1946;2042;2047;2051;2117;2119;2119_2123.ce;2123;2189;2192;2280;2289;2319;2558;2623;2638;2663;2689;2691;2759;2840;2846;2853;3554;3558;3563;3579;3595;3614;3614_3625.ce;3625;3919;3948;397_802.ce;4016;4042;4114;4186;4258;4330;4403;4477;450;4551;4625;522;594;666;873;873_878.ce;878;896;903;903_944.ce;944;945;945_950.ce;950;968;975;975_1016.ce;1566;1573;1573_1614.ce;1614;2068;2075;2075_2116.ce;2116;2710;2717;2717_2758.ce;2758;2788;2795;2795_2836.ce;2836;372;397_2197.ce;397_2991.ce;4040;4058;4065;4065_4106.ce;4106;4107;4107_4112.ce;4112;4130;4137;4137_4178.ce;4178;4179;4179_4184.ce;4184;4202;4209;4209_4250.ce;4250;4251;4251_4256.ce;4256;4274;4281;4281_4322.ce;4322;4323;4323_4328.ce;4328;4346;4353;4353_4394.ce;4394;4395;4399;4401;4419;4426;4426_4467.ce;4467;4468;4475;448;4493;4500;4500_4541.ce;4541;4542;4549;4567;4574;4574_4615.ce;4615;4616;4623;4641;4648;4648_4689.ce;466;4689;4690;4700_opexit11.loopexit11;4700_opexit19.loopexit19;473;473_514.ce;514;515;515_520.ce;520;538;545;545_586.ce;586;587;587_592.ce;592;610;617;617_658.ce;658;659;659_664.ce;664;682;689;689_730.ce;730;731;735;740;783;783_802.ce;869_4040.ce;1010;1017_4700.ce;1082;1089_4700.ce;1154;1161_4700.ce;1226;1233_4700.ce;1244;1311;1385;1459;1533;1608;1677;1751;1825;1832_4700.ce;1843_4700.ce;1916;2019;2042_4700.ce;2110;2117_4700.ce;2119_4700.ce;2182;2189_4700.ce;2257;2268_4700.ce;2382;2393_4700.ce;2395_4700.ce;2459;2531;2663_4700.ce;2752;2760_4700.ce;2830;2840_4700.ce;2846_4700.ce;2874_2880.ce;2883_4700.ce;2972;2980_4700.ce;3050;3060_4700.ce;3066_4700.ce;3108;3109;3111;3114;3138.le;3139_4700.ce;3213;3225;3231;3241;3247;3249;3274;3274_3320.ce;3289;3290;3292;3293;3309;3316;3320.le;3333;3356_4700.ce;3445;3453_4700.ce;3523;3533_4700.ce;3539_4700.ce;3554_4700.ce;3558_4700.ce;3598_4700.loopexit15.ce;3622;3629;3630;3640;3642;3643;3645;3664;3685;3713;3715;3737;3765;3782;3801;3801_3737.ce;3805;3813;3813_3870.ce;3854;3854_3870.ce;3867;3870;3882;3962;3962_4004.ce;397_1022.ce;397_1094.ce;397_1166.ce;397_1251.ce;397_1325.ce;397_1399.ce;397_1473.ce;397_1547.ce;397_1617.ce;397_1691.ce;397_1765.ce;397_1856.ce;397_1959.ce;397_2051.ce;397_2123.ce;397_2323.ce;397_2399.ce;397_2471.ce;397_2691.ce;397_2771.ce;397_4040.ce;397_4112.ce;397_4184.ce;397_4256.ce;397_4328.ce;397_4401.ce;397_4475.ce;397_4549.ce;397_4623.ce;397_520.ce;397_592.ce;397_664.ce;397_878.ce;397_950.ce;3988;3988_4004.ce;4001;4004;4100;4107_4700.ce;4172;4179_4700.ce;4244;4251_4700.ce;4316;4323_4700.ce;4388;4395_4700.ce;4461;4535;4609;4683;4699;4700.le;4700_opexit1.loopexit1;4700_opexit10.loopexit10;4700_opexit12.loopexit12;4700_opexit13.loopexit13;4700_opexit14.loopexit14;4700_opexit15.loopexit15;4700_opexit15split.loopexit15split;4700_opexit16.loopexit16;4700_opexit18.loopexit18;4700_opexit2.loopexit2;4700_opexit23.loopexit23;4700_opexit24.loopexit24;4700_opexit25.loopexit25;4700_opexit26.loopexit26;4700_opexit27.loopexit27;4700_opexit28.loopexit28;4700_opexit29.loopexit29;4700_opexit3.loopexit3;4700_opexit30.loopexit30;4700_opexit31.loopexit31;4700_opexit32.loopexit32;4700_opexit33.loopexit33;4700_opexit34.loopexit34;4700_opexit35.loopexit35;4700_opexit36.loopexit36;4700_opexit37.loopexit37;4700_opexit38.loopexit38;4700_opexit39.loopexit39;4700_opexit4.loopexit4;4700_opexit40.loopexit40;4700_opexit41.loopexit41;4700_opexit42.loopexit42;4700_opexit43.loopexit43;4700_opexit44.loopexit44;4700_opexit5.loopexit5;4700_opexit6.loopexit6;4700_opexit7.loopexit7;4700_opexit8.loopexit8;4700_opexit9.loopexit9;508;515_4700.ce;580;587_4700.ce;652;659_4700.ce;724;731_4700.ce;735_4700.ce;747;747_4700.ce;777;777_4700.ce;777_802.ce;783_4700.ce;862;873_4700.ce;938;945_4700.ce";"3195;3154;1949;2760;3197;2693;2864;1935;1853;3946;2866;1949_2040.ce;1852;2759;2840;2846;2393;3384;3139;3142;3145;3194;3209;3320;3343;3353;3382;3546;3156;3353_3382.ce;2325;0;2389;3464;3462;466;3410;3410_3451.ce;3451;3109;2196;3111;3129;2911;2853;2909;2868;2869;2880;2864_2868.ce;3087;3123;3138;3138.le;2880_2909.ce;2871;3488;3488_3529.ce;3529;1549;2991;2989;1615;873;2197;2300;2937;2937_2978.ce;2978;2268;2272;2303;1926;873_878.ce;2195;2290;2292;3356;3360;2874;2876;3015;3015_3056.ce;3056;2222;2222_2263.ce;2263;2883;2887;2119_2123.ce;3596;3598;3612;2652;1856;2395;2395_2399.ce;2392;2564;2581;2471;2541;2545;397_2471.ce;2564_2581.ce;397;4700;0_397.ce;735_4700.ce;2026_2036.ce;1956_1959.ce;1959;2036;397_3384.ce;2573;2424;2424_2465.ce;2465;1853_1856.ce;473_514.ce;1947;1944;2641;2029;2496;2496_2537.ce;2537;2590;397_3464.ce;2281;2559;397_2911.ce;2320_2323.ce;2556;2561;1984;1984_2025.ce;2025;2347;2347_2388.ce;2388;2769;2771;1249;1251;1881;1881_1922.ce;1922;1955;2119;520;2147;2147_2188.ce;2188;3554;397_802.ce;514;827;827_868.ce;868;1016;1022;1047;1047_1088.ce;1088;1094;1119;1119_1160.ce;1160;1166;1191;1191_1232.ce;1232;1237;1237_1249.ce;1276;1276_1317.ce;1317;1325;1350;1350_1391.ce;1391;1399;1424;1424_1465.ce;1465;1473;1498;1498_1539.ce;1539;1547;1642;1642_1683.ce;1683;1691;1716;1716_1757.ce;1757;1765;1790;1790_1831.ce;1831;1843;1937;1946;2042;2047;2051;2123;2280;2289;2319;2558;2623;2638;3083_2869.ce;3558;3563;3579;3595;3614;3614_3625.ce;3625;3919;3948;4016;450;878;903;903_944.ce;944;950;975;975_1016.ce;1573;1573_1614.ce;1614;2075;2075_2116.ce;2116;2717;2717_2758.ce;2758;2795;2795_2836.ce;2836;372;397_2197.ce;397_2991.ce;397_4040.ce;4040;4065;4065_4106.ce;4106;4112;4137;4137_4178.ce;4178;4184;4209;4209_4250.ce;4250;4256;4281;4281_4322.ce;4322;4328;4353;4353_4394.ce;4394;4399;4401;4426;4426_4467.ce;4467;4475;448;4500;4500_4541.ce;4541;4549;4574;4574_4615.ce;4615;4623;4648;4648_4689.ce;4689;473;545;545_586.ce;586;592;617;617_658.ce;658;664;689;689_730.ce;730;740;783;1010;1017;1017_1022.ce;1017_4700.ce;1024;1040;1082;1089;1089_1094.ce;1089_4700.ce;1096;1112;1154;1161;1161_1166.ce;1161_4700.ce;1168;1184;1226;1233;1233_4700.ce;1244;1253;1269;1311;1318;1327;1343;1385;1392;1401;1417;1459;1466;1475;1491;1533;1540;1566;1608;1617;1619;1635;1677;1684;1693;1709;1751;1758;1767;1783;1825;1832;1832_4700.ce;1843_4700.ce;1858;1874;1916;1923;1930;1938;1956;1956_2040.ce;1961;1977;2019;2026;2040;2042_4700.ce;2053;2068;2110;2117;2117_4700.ce;2119_4700.ce;2125;2140;2182;2189;2189_4700.ce;2192;2193;2199;2215;2257;2264;2268_4700.ce;2278;2287;2317;2320;2323;2340;2382;2390;2393_4700.ce;2395_4700.ce;2399;2401;2417;2459;2466;2466_2471.ce;2473;2489;2531;2538;2543;2553;2562;2581_2599.ce;2599;2621;2630;2636;2639;2642;2659;2663;2663_4700.ce;2689;2691;2710;2752;2760_4700.ce;2763;2773;2788;2830;2837;2840_4700.ce;2846_4700.ce;2861;2866_2868.ce;2874_2880.ce;2883_4700.ce;2913;2930;2972;2979;2980;2980_4700.ce;2983;2993;3008;3050;3057;3060;3060_4700.ce;3066;3066_4700.ce;3081;3083;3085;3108;3114;3124;3126;3138_opexit17.loopexit17;3139_4700.ce;3213;3225;3231;3241;3247;3249;3274;3274_3320.ce;3289;3290;3292;3293;3309;3316;3320.le;3333;3356_4700.ce;3386;3403;3445;3452;3453;3453_4700.ce;3456;3466;3481;3523;3530;3533;3533_4700.ce;3539;3539_4700.ce;3554_4700.ce;3558_4700.ce;3566;3577;3580;3593;3598_4700.loopexit15.ce;3604;3622;3629;3630;3640;3642;3643;3645;3664;3685;3713;3715;3737;3765;3782;3801;3801_3737.ce;3805;3813;3813_3870.ce;3854;3854_3870.ce;3867;3870;3882;3920;3962;3962_4004.ce;397_1022.ce;397_1094.ce;397_1166.ce;397_1251.ce;397_1325.ce;397_1399.ce;397_1473.ce;397_1547.ce;397_1617.ce;397_1691.ce;397_1765.ce;397_1856.ce;397_1959.ce;397_2051.ce;397_2123.ce;397_2323.ce;397_2399.ce;397_2691.ce;397_2771.ce;397_4112.ce;397_4184.ce;397_4256.ce;397_4328.ce;397_4401.ce;397_4475.ce;397_4549.ce;397_4623.ce;397_520.ce;397_592.ce;397_664.ce;397_878.ce;397_950.ce;3988;3988_4004.ce;4001;4004;4042;4058;4100;4107;4107_4112.ce;4107_4700.ce;4114;4130;4172;4179;4179_4184.ce;4179_4700.ce;4186;4202;4244;4251;4251_4256.ce;4251_4700.ce;4258;4274;4316;4323;4323_4328.ce;4323_4700.ce;4330;4346;4388;4395;4395_4700.ce;4403;4419;4461;4468;4477;4493;4535;4542;4551;4567;4609;4616;4625;4641;4683;4690;4699;4700.le;4700_opexit1.loopexit1;4700_opexit10.loopexit10;4700_opexit11.loopexit11;4700_opexit12.loopexit12;4700_opexit13.loopexit13;4700_opexit14.loopexit14;4700_opexit15.loopexit15;4700_opexit15split.loopexit15split;4700_opexit16.loopexit16;4700_opexit18.loopexit18;4700_opexit19.loopexit19;4700_opexit2.loopexit2;4700_opexit20.loopexit20;4700_opexit21.loopexit21;4700_opexit22.loopexit22;4700_opexit23.loopexit23;4700_opexit24.loopexit24;4700_opexit25.loopexit25;4700_opexit26.loopexit26;4700_opexit27.loopexit27;4700_opexit28.loopexit28;4700_opexit29.loopexit29;4700_opexit3.loopexit3;4700_opexit30.loopexit30;4700_opexit31.loopexit31;4700_opexit32.loopexit32;4700_opexit33.loopexit33;4700_opexit34.loopexit34;4700_opexit35.loopexit35;4700_opexit36.loopexit36;4700_opexit37.loopexit37;4700_opexit38.loopexit38;4700_opexit39.loopexit39;4700_opexit4.loopexit4;4700_opexit40.loopexit40;4700_opexit41.loopexit41;4700_opexit42.loopexit42;4700_opexit43.loopexit43;4700_opexit44.loopexit44;4700_opexit5.loopexit5;4700_opexit6.loopexit6;4700_opexit7.loopexit7;4700_opexit8.loopexit8;4700_opexit9.loopexit9;508;515;515_4700.ce;515_520.ce;522;538;580;587;587_4700.ce;587_592.ce;594;610;652;659;659_4700.ce;659_664.ce;666;682;724;731;731_4700.ce;735;747;747_4700.ce;777;777_4700.ce;777_802.ce;783_4700.ce;783_802.ce;802;804;820;862;869;869_4040.ce;873_4700.ce;880;896;938;945;945_4700.ce;945_950.ce;952;968";56484;0,7691
bzip2d;BZ2_hbCreateDecodeTables;1;28;37;960;122160;"14;16;27;16_27.ce;33;70;38;56;75;67;41;22;53;12;78;13;30;94;98;113;0;115;32;40;55;69;77;96";"12;30;0;16;16_27.ce;67;22;53;13;94;98;115;32;40;55;69;77;96;113;14;27;33;38;41;56;70;75;78";183;0,5159
bzip2d;addFlagsFromEnvVar;1;25;33;0;160;"0;0_80.ce;80;15;18;30;32;33;33_57.ce;53;55;57;57_78.ce;57split;59;59_62.ce;61;62;63;7;71;73;78;8;80.le";"0;0_80.ce;80;15;18;30;32;33;33_57.ce;53;55;57;57_78.ce;57split;59;59_62.ce;61;62;63;7;71;73;78;8;80.le";0;1,0000
bzip2d;default_bzfree;1;4;5;0;160;"0;2;3;0_3.ce";"0;2;3;0_3.ce";0;1,0000
bzip2d;fileExists;1;4;5;0;80;"0;5;7;0_7.ce";"0;5;7;0_7.ce";0;1,0000
bzip2d;main;1;7;9;0;81;"11;20;0;23;23.le;8;5";"0;11;20;23;23.le;8;5";2;0,9048
