Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Upper Bound Guess;Upper Bound Distance;Upper Bound Hit;Hydra Guess;Hydra Distance;Hydra Hit
automotive_bitcount;bit_count;1;7;9;0;1059527520;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;2;7;9;0;1010273706;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;3;7;9;0;1011645882;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;4;7;9;0;992701303;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;5;7;9;0;997326315;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;6;7;9;0;1030727802;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;7;7;9;0;1022128404;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;8;7;9;0;962031231;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;9;7;9;0;969602440;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;10;7;9;0;952589974;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;11;7;9;0;1057163513;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;12;7;9;0;1484336036;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;13;7;9;0;932265675;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;14;7;9;0;952402577;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;15;7;9;0;975827710;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;16;7;9;0;974202625;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;17;7;9;0;983807836;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;18;7;9;0;983807836;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;19;7;9;0;996435297;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_count;20;7;9;0;993077560;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_shifter;1;7;9;0;2056754800;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;2;7;9;0;1971211320;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;3;7;9;0;1978281994;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;4;7;9;0;1939667611;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;5;7;9;0;1921316535;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;6;7;9;0;2015657124;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;7;7;9;0;2002556028;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;8;7;9;0;1881454932;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;9;7;9;0;1888404384;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
automotive_bitcount;bit_shifter;10;7;9;0;1841353836;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000;"9;9_9.ce;0;16;3_16.ce;9_.ph.lr.ph;0_16.ce";0;1,0000
