bb;0
bb404.bb1497_crit_edge;404_1497.ce
bb411;411
bb427;427
bb862;862
bb864;864
bb865;865
bb869;869
bb871;871
bb873;873
bb874;874
bb877;877
bb878;878
bb882;882
bb884;884
bb885;885
bb886;886
bb887;887
bb888;888
bb888.bb933_crit_edge;888_933.ce
bb897;897
bb897.bb933_crit_edge;897_933.ce
bb906;906
bb906.bb933_crit_edge;906_933.ce
bb917;917
bb917.bb933_crit_edge;917_933.ce
bb928;928
bb933;933
bb934;934
bb935;935
bb936;936
bb937;937
bb937.bb1496_crit_edge;937_1496.ce
bb939;939
bb1431;1431
bb1432;1432
bb1436;1436
bb1439;1439
bb1440;1440
bb1443;1443
bb1444;1444
bb1446;1446
bb1447;1447
bb1448;1448
bb1449;1449
bb1450;1450
bb1450.bb1495_crit_edge;1450_1495.ce
bb1459;1459
bb1459.bb1495_crit_edge;1459_1495.ce
bb1468;1468
bb1468.bb1495_crit_edge;1468_1495.ce
bb1479;1479
bb1479.bb1495_crit_edge;1479_1495.ce
bb1490;1490
bb1495;1495
bb1496;1496
bb1497;1497
bb1498;1498
bb1500;1500
bb1501;1501
bb1503;1503
bb32.bb130_crit_edge;32_130.ce
bb130;130
bb131;131
bb133;133
bb134;134
bb137;137
bb141;141
bb144;144
bb144.bb469_crit_edge;144_469.ce
bb151;151
bb167;167
bb270;270
bb272;272
bb273;273
bb277;277
bb279;279
bb281;281
bb282;282
bb285;285
bb286;286
bb289;289
bb290;290
bb292;292
bb293;293
bb294;294
bb295;295
bb296;296
bb296.bb319_crit_edge;296_319.ce
bb305;305
bb305.bb319_crit_edge;305_319.ce
bb314;314
bb319;319
bb320;320
bb321;321
bb323;323
bb323.bb468_crit_edge;323_468.ce
bb425;425
bb426;426
bb430;430
bb433;433
bb434;434
bb437;437
bb438;438
bb444.bb467_crit_edge;444_467.ce
bb453;453
bb453.bb467_crit_edge;453_467.ce
bb462;462
bb469;469
bb472;472
bb29.bb1066_crit_edge;29_1066.ce
bb213;213
bb213.bb1065_crit_edge;213_1065.ce
bb225;225
bb225.bb1064_crit_edge;225_1064.ce
bb236;236
bb236.bb1063_crit_edge;236_1063.ce
bb246;246
bb246.bb1062_crit_edge;246_1062.ce
bb260;260
bb260.bb1061_crit_edge;260_1061.ce
bb271;271
bb271.bb1060_crit_edge;271_1060.ce
bb282.bb1059_crit_edge;282_1059.ce
bb293.bb1058_crit_edge;293_1058.ce
bb304;304
bb304.bb1057_crit_edge;304_1057.ce
bb315;315
bb315.bb1056_crit_edge;315_1056.ce
bb325.bb1055_crit_edge;325_1055.ce
bb339.bb1054_crit_edge;339_1054.ce
bb350;350
bb350.bb1053_crit_edge;350_1053.ce
bb361;361
bb361.bb1052_crit_edge;361_1052.ce
bb372;372
bb372.bb1051_crit_edge;372_1051.ce
bb382.bb1050_crit_edge;382_1050.ce
bb396.bb1049_crit_edge;396_1049.ce
bb407;407
bb407.bb1048_crit_edge;407_1048.ce
bb417;417
bb417.bb1047_crit_edge;417_1047.ce
bb846;846
bb848;848
bb856;856
bb860;860
bb891;891
bb910;910
bb915;915
bb920;920
bb948;948
bb956;956
bb974;974
bb979;979
bb984;984
bb1003;1003
bb1008;1008
bb1013;1013
bb1026;1026
bb1026.bb1046_crit_edge;1026_1046.ce
bb1028;1028
bb1046;1046
bb1047;1047
bb1048;1048
bb1049;1049
bb1050;1050
bb1051;1051
bb1052;1052
bb1053;1053
bb1054;1054
bb1055;1055
bb1056;1056
bb1057;1057
bb1058;1058
bb1059;1059
bb1060;1060
bb1061;1061
bb1062;1062
bb1063;1063
bb1064;1064
bb1065;1065
bb1066;1066
bb1067;1067
bb1069;1069
bb1070;1070
bb1072;1072
bb1073;1073
bb1076;1076
bb1077;1077
bb1080;1080
bb1080.bb1549_crit_edge;1080_1549.ce
bb1087;1087
bb1087.bb1548_crit_edge;1087_1548.ce
bb1096;1096
bb1096.bb1548_crit_edge;1096_1548.ce
bb1105;1105
bb1105.bb1548_crit_edge;1105_1548.ce
bb1114;1114
bb1114.bb1548_crit_edge;1114_1548.ce
bb1122;1122
bb1122.bb1548_crit_edge;1122_1548.ce
bb1131;1131
bb1131.bb1548_crit_edge;1131_1548.ce
bb1140;1140
bb1140.bb1548_crit_edge;1140_1548.ce
bb1149;1149
bb1149.bb1548_crit_edge;1149_1548.ce
bb1158;1158
bb1158.bb1548_crit_edge;1158_1548.ce
bb1167;1167
bb1167.bb1548_crit_edge;1167_1548.ce
bb1176;1176
bb1176.bb1548_crit_edge;1176_1548.ce
bb1184;1184
bb1184.bb1548_crit_edge;1184_1548.ce
bb1193;1193
bb1193.bb1548_crit_edge;1193_1548.ce
bb1202;1202
bb1202.bb1548_crit_edge;1202_1548.ce
bb1211;1211
bb1211.bb1548_crit_edge;1211_1548.ce
bb1220;1220
bb1220.bb1548_crit_edge;1220_1548.ce
bb1229;1229
bb1229.bb1548_crit_edge;1229_1548.ce
bb1238;1238
bb1238.bb1548_crit_edge;1238_1548.ce
bb1246;1246
bb1246.bb1548_crit_edge;1246_1548.ce
bb1255;1255
bb1255.bb1548_crit_edge;1255_1548.ce
bb1264;1264
bb1264.bb1548_crit_edge;1264_1548.ce
bb1273;1273
bb1273.bb1548_crit_edge;1273_1548.ce
bb1281;1281
bb1281.bb1548_crit_edge;1281_1548.ce
bb1289;1289
bb1289.bb1548_crit_edge;1289_1548.ce
bb1297;1297
bb1297.bb1548_crit_edge;1297_1548.ce
bb1305;1305
bb1305.bb1548_crit_edge;1305_1548.ce
bb1313;1313
bb1313.bb1548_crit_edge;1313_1548.ce
bb1321;1321
bb1321.bb1548_crit_edge;1321_1548.ce
bb1330;1330
bb1330.bb1548_crit_edge;1330_1548.ce
bb1339;1339
bb1339.bb1548_crit_edge;1339_1548.ce
bb1348;1348
bb1348.bb1548_crit_edge;1348_1548.ce
bb1356;1356
bb1356.bb1548_crit_edge;1356_1548.ce
bb1365;1365
bb1365.bb1548_crit_edge;1365_1548.ce
bb1374;1374
bb1374.bb1548_crit_edge;1374_1548.ce
bb1383;1383
bb1383.bb1548_crit_edge;1383_1548.ce
bb1392;1392
bb1392.bb1548_crit_edge;1392_1548.ce
bb1401;1401
bb1401.bb1548_crit_edge;1401_1548.ce
bb1410;1410
bb1410.bb1548_crit_edge;1410_1548.ce
bb1418;1418
bb1418.bb1548_crit_edge;1418_1548.ce
bb1427;1427
bb1427.bb1548_crit_edge;1427_1548.ce
bb1436.bb1548_crit_edge;1436_1548.ce
bb1445;1445
bb1445.bb1548_crit_edge;1445_1548.ce
bb1454;1454
bb1454.bb1548_crit_edge;1454_1548.ce
bb1463;1463
bb1463.bb1548_crit_edge;1463_1548.ce
bb1472;1472
bb1472.bb1548_crit_edge;1472_1548.ce
bb1480;1480
bb1480.bb1548_crit_edge;1480_1548.ce
bb1489;1489
bb1489.bb1548_crit_edge;1489_1548.ce
bb1498.bb1548_crit_edge;1498_1548.ce
bb1507;1507
bb1544;1544
