Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_bitcount;bit_shifter;14;5;7;90737500;1858454304;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;15;5;7;89375000;1873972672;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;16;5;7;88687500;1901075795;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;17;5;7;88150000;1916460636;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;18;5;7;88150000;1916460636;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;19;5;7;87587500;1922236459;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_shifter;20;5;7;86925000;1928751070;9;9_.ph.lr.ph;0;9;1;9;1;16;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;1;8;11;0;80;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;2;8;11;0;39;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;3;8;11;0;26;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;4;8;11;0;19;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
